"","DAVID w/ background","PANTHER w/ background","Wilcoxon DM","Wilcoxon HLM"
"antisense RNA metabolic process - GO:0042868","","","Enriched",""
"amino acid import - GO:0043090","","","Depleted",""
"regulation of ion transport - GO:0043269","","","Depleted",""
"macromolecule methylation - GO:0043414","","","Enriched",""
"protein-containing complex subunit organization - GO:0043933","","","Enriched",""
"regulation of anion transport - GO:0044070","","","Depleted",""
"cellular component biogenesis - GO:0044085","","","Enriched",""
"cellular polysaccharide metabolic process - GO:0044264","","","Depleted",""
"double-strand break repair via synthesis-dependent strand annealing - GO:0045003","","","Enriched",""
"regulation of innate immune response - GO:0045088","","","Depleted",""
"external encapsulating structure organization - GO:0045229","","","Depleted",""
"pigment catabolic process - GO:0046149","","","Depleted",""
"phenol-containing compound biosynthetic process - GO:0046189","","","Depleted",""
"indole phytoalexin metabolic process - GO:0046217","","","Depleted",""
"disaccharide biosynthetic process - GO:0046351","","","Depleted",""
"carboxylic acid catabolic process - GO:0046395","","","Depleted",""
"FAD metabolic process - GO:0046443","","","Enriched",""
"leaf development - GO:0048366","","","Depleted",""
"chemical homeostasis - GO:0048878","","","Depleted",""
"nucleic acid transport - GO:0050657","","","Enriched",""
"RNA transport - GO:0050658","","","Enriched",""
"regulation of immune response - GO:0050776","","","Depleted",""
"ion homeostasis - GO:0050801","","","Depleted",""
"defense response to Gram-negative bacterium - GO:0050829","","","Depleted",""
"nitrile metabolic process - GO:0050898","","","Depleted",""
"mRNA transport - GO:0051028","","","Enriched",""
"regulation of DNA metabolic process - GO:0051052","","","Enriched",""
"nuclear export - GO:0051168","","","Enriched",""
"import into nucleus - GO:0051170","","","Enriched",""
"regulation of nitrogen compound metabolic process - GO:0051171","","","Enriched",""
"establishment of RNA localization - GO:0051236","","","Enriched",""
"regulation of protein metabolic process - GO:0051246","","","Enriched",""
"meiotic chromosome separation - GO:0051307","","","Enriched",""
"phytoalexin metabolic process - GO:0052314","","","Depleted",""
"phytoalexin biosynthetic process - GO:0052315","","","Depleted",""
"cell wall thickening - GO:0052386","","","Depleted",""
"defense response by cell wall thickening - GO:0052482","","","Depleted",""
"defense response by callose deposition in cell wall - GO:0052544","","","Depleted",""
"callose localization - GO:0052545","","","Depleted",""
"!!! absent from annotation - GO:0055114","","","Depleted",""
"leaf abscission - GO:0060866","","","Depleted",""
"regulation of proteasomal protein catabolic process - GO:0061136","","","Enriched",""
"production of small RNA involved in gene silencing by RNA - GO:0070918","","","Enriched",""
"DNA conformation change - GO:0071103","","","Enriched",""
"ribonucleoprotein complex localization - GO:0071166","","","Enriched",""
"cellular response to biotic stimulus - GO:0071216","","","Depleted",""
"cellular response to antibiotic - GO:0071236","","","Depleted",""
"ribonucleoprotein complex export from nucleus - GO:0071426","","","Enriched",""
"mRNA-containing ribonucleoprotein complex export from nucleus - GO:0071427","","","Enriched",""
"cell wall organization or biogenesis - GO:0071554","","","Depleted",""
"cell wall organization - GO:0071555","","","Depleted",""
"plant-type cell wall organization or biogenesis - GO:0071669","","","Depleted",""
"nitrogen compound transport - GO:0071705","","","Enriched",""
"ammonium transmembrane transport - GO:0072488","","","Depleted",""
"nitrile biosynthetic process - GO:0080028","","","Depleted",""
"regulation of primary metabolic process - GO:0080090","","","Enriched",""
"regulation of chlorophyll metabolic process - GO:0090056","","","Depleted",""
"nucleic acid phosphodiester bond hydrolysis - GO:0090305","","","Enriched",""
"cellular response to toxic substance - GO:0097237","","","Depleted",""
"inorganic ion homeostasis - GO:0098771","","","Depleted",""
"regulation of leaf senescence - GO:1900055","","","Depleted",""
"regulation of secondary metabolite biosynthetic process - GO:1900376","","","Depleted",""
"regulation of defense response to bacterium - GO:1900424","","","Depleted",""
"organic cyclic compound metabolic process - GO:1901360","","","Enriched",""
"positive regulation of proteasomal protein catabolic process - GO:1901800","","","Enriched",""
"regulation of cell cycle phase transition - GO:1901987","","","Enriched",""
"regulation of mRNA metabolic process - GO:1903311","","","Enriched",""
"regulation of protein modification by small protein conjugation or removal - GO:1903320","","","Enriched",""
"regulation of anion transmembrane transport - GO:1903959","","","Depleted",""
"response to iron ion starvation - GO:1990641","","","Depleted",""
"regulation of defense response to insect - GO:2000068","","","Depleted",""
"regulation of response to water deprivation - GO:2000070","","","Depleted",""
"regulation of response to DNA damage stimulus - GO:2001020","","","Enriched",""
"translation - GO:0006412","","","","Depleted"
"cellular protein modification process - GO:0006464","","","","Enriched"
"protein modification process - GO:0036211","","","","Enriched"
"peptide biosynthetic process - GO:0043043","","","","Depleted"
"amide biosynthetic process - GO:0043604","","","","Depleted"
"cellular developmental process - GO:0048869","","","","Enriched"
"ribosomal small subunit assembly - GO:0000028","","","","Depleted"
"rRNA modification - GO:0000154","","","","Depleted"
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay - GO:0000184","","","","Enriched"
"microtubule cytoskeleton organization - GO:0000226","","","","Enriched"
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) - GO:0000463","","","","Depleted"
"maturation of LSU-rRNA - GO:0000470","","","","Depleted"
"karyogamy - GO:0000741","","","","Depleted"
"nuclear-transcribed mRNA catabolic process - GO:0000956","","","","Enriched"
"AMP biosynthetic process - GO:0006167","","","","Depleted"
"pyrimidine nucleobase metabolic process - GO:0006206","","","","Depleted"
"chromatin silencing - GO:0006342","","","","Enriched"
"rRNA processing - GO:0006364","","","","Depleted"
"protein folding - GO:0006457","","","","Depleted"
"peptide metabolic process - GO:0006518","","","","Depleted"
"cellular amino acid metabolic process - GO:0006520","","","","Depleted"
"icosanoid metabolic process - GO:0006690","","","","Depleted"
"porphyrin-containing compound metabolic process - GO:0006778","","","","Depleted"
"phosphate ion transport - GO:0006817","","","","Depleted"
"amino acid transport - GO:0006865","","","","Depleted"
"vesicle budding from membrane - GO:0006900","","","","Enriched"
"movement of cell or subcellular component - GO:0006928","","","","Enriched"
"cytoskeleton organization - GO:0007010","","","","Enriched"
"microtubule-based process - GO:0007017","","","","Enriched"
"microtubule-based movement - GO:0007018","","","","Enriched"
"spindle organization - GO:0007051","","","","Enriched"
"sister chromatid cohesion - GO:0007062","","","","Enriched"
"regulation of mitotic cell cycle - GO:0007346","","","","Enriched"
"cellular amino acid biosynthetic process - GO:0008652","","","","Depleted"
"biosynthetic process - GO:0009058","","","","Depleted"
"aromatic amino acid family metabolic process - GO:0009072","","","","Depleted"
"aromatic amino acid family biosynthetic process - GO:0009073","","","","Depleted"
"aromatic amino acid family catabolic process - GO:0009074","","","","Depleted"
"nucleobase metabolic process - GO:0009112","","","","Depleted"
"nucleoside monophosphate metabolic process - GO:0009123","","","","Depleted"
"nucleoside monophosphate biosynthetic process - GO:0009124","","","","Depleted"
"purine nucleoside monophosphate metabolic process - GO:0009126","","","","Depleted"
"purine nucleoside monophosphate biosynthetic process - GO:0009127","","","","Depleted"
"ribonucleoside monophosphate biosynthetic process - GO:0009156","","","","Depleted"
"ribonucleoside monophosphate metabolic process - GO:0009161","","","","Depleted"
"purine ribonucleoside monophosphate metabolic process - GO:0009167","","","","Depleted"
"purine ribonucleoside monophosphate biosynthetic process - GO:0009168","","","","Depleted"
"pathogenesis - GO:0009405","","","","Depleted"
"microsporogenesis - GO:0009556","","","","Enriched"
"response to blue light - GO:0009637","","","","Depleted"
"response to red or far red light - GO:0009639","","","","Depleted"
"response to high light intensity - GO:0009644","","","","Depleted"
"anatomical structure morphogenesis - GO:0009653","","","","Enriched"
"plastid organization - GO:0009657","","","","Depleted"
"chloroplast organization - GO:0009658","","","","Depleted"
"response to carbohydrate - GO:0009743","","","","Depleted"
"response to sucrose - GO:0009744","","","","Depleted"
"pollen germination - GO:0009846","","","","Enriched"
"tissue development - GO:0009888","","","","Enriched"
"regulation of flavonoid biosynthetic process - GO:0009962","","","","Depleted"
"cellular process - GO:0009987","","","","Depleted"
"red or far-red light signaling pathway - GO:0010017","","","","Depleted"
"regulation of seed germination - GO:0010029","","","","Depleted"
"photoprotection - GO:0010117","","","","Depleted"
"polar nucleus fusion - GO:0010197","","","","Depleted"
"vesicle organization - GO:0016050","","","","Enriched"
"rRNA metabolic process - GO:0016072","","","","Depleted"
"tetraterpenoid metabolic process - GO:0016108","","","","Depleted"
"tetraterpenoid biosynthetic process - GO:0016109","","","","Depleted"
"carotenoid metabolic process - GO:0016116","","","","Depleted"
"carotenoid biosynthetic process - GO:0016117","","","","Depleted"
"xanthophyll metabolic process - GO:0016122","","","","Depleted"
"xanthophyll biosynthetic process - GO:0016123","","","","Depleted"
"sexual reproduction - GO:0019953","","","","Enriched"
"maturation of SSU-rRNA - GO:0030490","","","","Depleted"
"regulation of protein modification process - GO:0031399","","","","Enriched"
"regulation of anthocyanin biosynthetic process - GO:0031540","","","","Depleted"
"regulation of response to extracellular stimulus - GO:0032104","","","","Depleted"
"regulation of response to nutrient levels - GO:0032107","","","","Depleted"
"tetrapyrrole metabolic process - GO:0033013","","","","Depleted"
"response to disaccharide - GO:0034285","","","","Depleted"
"chromatin organization involved in regulation of transcription - GO:0034401","","","","Enriched"
"nucleosome organization - GO:0034728","","","","Enriched"
"protein refolding - GO:0042026","","","","Depleted"
"ribosome biogenesis - GO:0042254","","","","Depleted"
"ribosome assembly - GO:0042255","","","","Depleted"
"ribosomal large subunit biogenesis - GO:0042273","","","","Depleted"
"ribosomal small subunit biogenesis - GO:0042274","","","","Depleted"
"regulation of circadian rhythm - GO:0042752","","","","Depleted"
"plastid transcription - GO:0042793","","","","Depleted"
"cellular amide metabolic process - GO:0043603","","","","Depleted"
"cellular biosynthetic process - GO:0044249","","","","Depleted"
"cellular nitrogen compound biosynthetic process - GO:0044271","","","","Depleted"
"multi-organism reproductive process - GO:0044703","","","","Enriched"
"negative regulation of gene expression, epigenetic - GO:0045814","","","","Enriched"
"positive regulation of transcription by RNA polymerase II - GO:0045944","","","","Enriched"
"nucleobase biosynthetic process - GO:0046112","","","","Depleted"
"cell development - GO:0048468","","","","Enriched"
"spindle assembly - GO:0051225","","","","Enriched"
"protein tetramerization - GO:0051262","","","","Depleted"
"regulation of cytoskeleton organization - GO:0051493","","","","Enriched"
"detection of stimulus - GO:0051606","","","","Depleted"
"multi-organism process - GO:0051704","","","","Enriched"
"monovalent inorganic anion homeostasis - GO:0055083","","","","Depleted"
"chaperone-mediated protein folding - GO:0061077","","","","Depleted"
"cellular response to abiotic stimulus - GO:0071214","","","","Depleted"
"cellular response to radiation - GO:0071478","","","","Depleted"
"cellular response to red or far red light - GO:0071489","","","","Depleted"
"cellular response to red light - GO:0071491","","","","Depleted"
"chromatin organization involved in negative regulation of transcription - GO:0097549","","","","Enriched"
"cellular response to environmental stimulus - GO:0104004","","","","Depleted"
"chloroplast rRNA processing - GO:1901259","","","","Depleted"
"regulation of tetrapyrrole metabolic process - GO:1901401","","","","Depleted"
"organonitrogen compound biosynthetic process - GO:1901566","","","","Depleted"
"organic substance biosynthetic process - GO:1901576","","","","Depleted"
"regulation of chromatin organization - GO:1902275","","","","Enriched"
